Date ,OPEN ,HIGH ,LOW ,close 
22-Jun-21,"3,304.00","3,327.05","3,285.00","3,301.20"
23-Jun-21,"3,329.00","3,329.00","3,256.40","3,261.40"
24-Jun-21,"3,284.00","3,383.00","3,278.50","3,373.60"
25-Jun-21,"3,375.25","3,399.65","3,350.00","3,380.80"
28-Jun-21,"3,391.50","3,391.50","3,333.00","3,336.75"
29-Jun-21,"3,342.00","3,366.30","3,326.50","3,340.85"
30-Jun-21,"3,346.00","3,382.00","3,338.50","3,345.75"
01-Jul-21,"3,358.00","3,362.00","3,332.35","3,341.50"
02-Jul-21,"3,331.00","3,339.70","3,295.20","3,325.45"
05-Jul-21,"3,342.00","3,374.00","3,302.00","3,321.00"
06-Jul-21,"3,313.00","3,328.00","3,256.10","3,262.30"
07-Jul-21,"3,275.00","3,282.70","3,241.60","3,274.95"
08-Jul-21,"3,298.00","3,298.00","3,231.90","3,258.50"
09-Jul-21,"3,250.00","3,282.00","3,201.00","3,208.15"
12-Jul-21,"3,235.00","3,236.00","3,188.35","3,193.10"
13-Jul-21,"3,214.00","3,214.00","3,175.00","3,187.55"
14-Jul-21,"3,187.00","3,222.00","3,185.00","3,214.55"
15-Jul-21,"3,227.60","3,231.85","3,194.00","3,202.95"
16-Jul-21,"3,213.00","3,219.85","3,192.00","3,194.80"
19-Jul-21,"3,180.00","3,199.80","3,176.00","3,184.60"
20-Jul-21,"3,184.60","3,215.00","3,156.15","3,205.80"
22-Jul-21,"3,190.00","3,224.95","3,190.00","3,216.35"
23-Jul-21,"3,230.00","3,241.55","3,206.65","3,212.85"
26-Jul-21,"3,200.00","3,224.25","3,190.85","3,197.55"
27-Jul-21,"3,200.00","3,210.00","3,161.15","3,182.95"
28-Jul-21,"3,188.00","3,204.45","3,132.40","3,197.80"
29-Jul-21,"3,200.25","3,225.45","3,190.30","3,195.80"
30-Jul-21,"3,219.00","3,223.50","3,162.35","3,167.45"
02-Aug-21,"3,180.00","3,224.90","3,167.00","3,219.40"
03-Aug-21,"3,229.00","3,290.00","3,218.95","3,284.90"
04-Aug-21,"3,300.00","3,305.20","3,261.20","3,273.95"
05-Aug-21,"3,275.00","3,315.00","3,262.50","3,283.95"
06-Aug-21,"3,272.55","3,324.00","3,265.00","3,309.80"
09-Aug-21,"3,323.90","3,337.00","3,310.00","3,322.70"
10-Aug-21,"3,315.60","3,349.90","3,315.60","3,333.90"
11-Aug-21,"3,350.00","3,360.00","3,327.10","3,344.20"
12-Aug-21,"3,326.00","3,368.00","3,326.00","3,351.75"
13-Aug-21,"3,360.75","3,480.00","3,357.50","3,463.40"
16-Aug-21,"3,460.00","3,494.35","3,436.50","3,472.95"
17-Aug-21,"3,482.10","3,560.80","3,463.00","3,553.05"
18-Aug-21,"3,573.85","3,595.00","3,536.60","3,560.55"
20-Aug-21,"3,506.00","3,575.00","3,500.00","3,559.50"
23-Aug-21,"3,580.00","3,673.00","3,561.90","3,637.40"
24-Aug-21,"3,657.00","3,667.35","3,594.40","3,613.20"
25-Aug-21,"3,610.00","3,697.75","3,607.05","3,659.00"
26-Aug-21,"3,660.00","3,687.60","3,647.90","3,671.85"
27-Aug-21,"3,666.00","3,729.50","3,651.10","3,720.15"
30-Aug-21,"3,715.00","3,740.35","3,687.60","3,701.30"
31-Aug-21,"3,709.40","3,804.10","3,703.45","3,786.45"
01-Sep-21,"3,796.00","3,816.70","3,707.00","3,714.95"
02-Sep-21,"3,734.00","3,859.15","3,722.00","3,836.75"
03-Sep-21,"3,825.00","3,856.90","3,804.55","3,842.05"
06-Sep-21,"3,849.70","3,877.60","3,814.00","3,852.00"
07-Sep-21,"3,864.00","3,869.95","3,808.25","3,815.90"
08-Sep-21,"3,810.00","3,815.00","3,756.00","3,774.15"
09-Sep-21,"3,789.70","3,808.70","3,765.00","3,791.40"
13-Sep-21,"3,767.00","3,852.40","3,767.00","3,845.35"
14-Sep-21,"3,849.95","3,896.50","3,825.00","3,885.90"
15-Sep-21,"3,882.10","3,980.00","3,866.00","3,954.55"
16-Sep-21,"3,930.00","3,981.75","3,892.10","3,903.30"
17-Sep-21,"3,920.00","3,945.00","3,805.00","3,827.85"
20-Sep-21,"3,809.00","3,871.00","3,807.85","3,823.50"
21-Sep-21,"3,858.00","3,871.55","3,821.65","3,862.95"
22-Sep-21,"3,862.50","3,896.85","3,852.45","3,862.15"
23-Sep-21,"3,870.00","3,879.00","3,835.00","3,869.25"
24-Sep-21,"3,890.00","3,944.40","3,855.00","3,871.30"
27-Sep-21,"3,900.00","3,904.00","3,802.90","3,836.95"
28-Sep-21,"3,850.00","3,850.00","3,751.25","3,779.15"
29-Sep-21,"3,759.80","3,806.00","3,722.15","3,791.90"
30-Sep-21,"3,805.00","3,805.00","3,750.10","3,775.55"
01-Oct-21,"3,781.75","3,810.00","3,725.00","3,730.20"
04-Oct-21,"3,724.80","3,783.65","3,707.45","3,773.30"
05-Oct-21,"3,754.00","3,840.00","3,741.60","3,833.30"
06-Oct-21,"3,836.00","3,857.45","3,795.00","3,810.90"
07-Oct-21,"3,830.00","3,899.00","3,820.05","3,892.90"
08-Oct-21,"3,925.00","3,989.90","3,900.00","3,935.65"
11-Oct-21,"3,755.00","3,757.50","3,660.00","3,685.60"
12-Oct-21,"3,706.00","3,707.00","3,630.60","3,652.85"
13-Oct-21,"3,650.00","3,675.45","3,645.00","3,655.20"
14-Oct-21,"3,625.00","3,670.00","3,608.20","3,611.45"
18-Oct-21,"3,603.45","3,652.70","3,601.45","3,647.15"
19-Oct-21,"3,669.00","3,690.10","3,625.20","3,634.15"
20-Oct-21,"3,612.00","3,630.00","3,578.30","3,608.85"
21-Oct-21,"3,604.10","3,607.45","3,511.25","3,532.50"
22-Oct-21,"3,560.00","3,561.60","3,485.00","3,498.85"
25-Oct-21,"3,503.00","3,514.55","3,450.00","3,492.95"
26-Oct-21,"3,494.50","3,529.00","3,475.00","3,482.60"
