,Date,Open,High,Low,Close
150,04-Jun-21,3143.75,3156.85,3125.0,3143.75
151,07-Jun-21,3183.2,3190.45,3133.6,3183.2
152,08-Jun-21,3200.15,3231.0,3187.2,3200.15
153,09-Jun-21,3200.25,3220.0,3186.2,3200.25
154,10-Jun-21,3216.8,3224.0,3193.0,3216.8
155,11-Jun-21,3273.8,3309.0,3211.0,3273.8
156,14-Jun-21,3276.35,3308.7,3270.35,3276.35
157,15-Jun-21,3262.75,3298.0,3251.55,3262.75
158,16-Jun-21,3274.35,3294.7,3253.0,3274.35
159,17-Jun-21,3317.75,3336.05,3260.0,3317.75
160,18-Jun-21,3297.3,3358.0,3275.0,3297.3
161,21-Jun-21,3273.1,3286.0,3251.7,3273.1
162,22-Jun-21,3301.2,3327.05,3285.0,3301.2
163,23-Jun-21,3261.4,3329.0,3256.4,3261.4
164,24-Jun-21,3373.6,3383.0,3278.5,3373.6
165,25-Jun-21,3380.8,3399.65,3350.0,3380.8
166,28-Jun-21,3336.75,3391.5,3333.0,3336.75
167,29-Jun-21,3340.85,3366.3,3326.5,3340.85
168,30-Jun-21,3345.75,3382.0,3338.5,3345.75
169,01-Jul-21,3341.5,3362.0,3332.35,3341.5
170,02-Jul-21,3325.45,3339.7,3295.2,3325.45
171,05-Jul-21,3321.0,3374.0,3302.0,3321.0
172,06-Jul-21,3262.3,3328.0,3256.1,3262.3
173,07-Jul-21,3274.95,3282.7,3241.6,3274.95
174,08-Jul-21,3258.5,3298.0,3231.9,3258.5
175,09-Jul-21,3208.15,3282.0,3201.0,3208.15
176,12-Jul-21,3193.1,3236.0,3188.35,3193.1
177,13-Jul-21,3187.55,3214.0,3175.0,3187.55
178,14-Jul-21,3214.55,3222.0,3185.0,3214.55
179,15-Jul-21,3202.95,3231.85,3194.0,3202.95
180,16-Jul-21,3194.8,3219.85,3192.0,3194.8
181,19-Jul-21,3184.6,3199.8,3176.0,3184.6
182,20-Jul-21,3205.8,3215.0,3156.15,3205.8
183,22-Jul-21,3216.35,3224.95,3190.0,3216.35
184,23-Jul-21,3212.85,3241.55,3206.65,3212.85
185,26-Jul-21,3197.55,3224.25,3190.85,3197.55
186,27-Jul-21,3182.95,3210.0,3161.15,3182.95
187,28-Jul-21,3197.8,3204.45,3132.4,3197.8
188,29-Jul-21,3195.8,3225.45,3190.3,3195.8
189,30-Jul-21,3167.45,3223.5,3162.35,3167.45
190,02-Aug-21,3219.4,3224.9,3167.0,3219.4
191,03-Aug-21,3284.9,3290.0,3218.95,3284.9
192,04-Aug-21,3273.95,3305.2,3261.2,3273.95
193,05-Aug-21,3283.95,3315.0,3262.5,3283.95
194,06-Aug-21,3309.8,3324.0,3265.0,3309.8
195,09-Aug-21,3322.7,3337.0,3310.0,3322.7
196,10-Aug-21,3333.9,3349.9,3315.6,3333.9
197,11-Aug-21,3344.2,3360.0,3327.1,3344.2
198,12-Aug-21,3351.75,3368.0,3326.0,3351.75
199,13-Aug-21,3463.4,3480.0,3357.5,3463.4
200,16-Aug-21,3472.95,3494.35,3436.5,3472.95
201,17-Aug-21,3553.05,3560.8,3463.0,3553.05
202,18-Aug-21,3560.55,3595.0,3536.6,3560.55
203,20-Aug-21,3559.5,3575.0,3500.0,3559.5
204,23-Aug-21,3637.4,3673.0,3561.9,3637.4
205,24-Aug-21,3613.2,3667.35,3594.4,3613.2
206,25-Aug-21,3659.0,3697.75,3607.05,3659.0
207,26-Aug-21,3671.85,3687.6,3647.9,3671.85
208,27-Aug-21,3720.15,3729.5,3651.1,3720.15
209,30-Aug-21,3701.3,3740.35,3687.6,3701.3
210,31-Aug-21,3786.45,3804.1,3703.45,3786.45
211,01-Sep-21,3714.95,3816.7,3707.0,3714.95
212,02-Sep-21,3836.75,3859.15,3722.0,3836.75
213,03-Sep-21,3842.05,3856.9,3804.55,3842.05
214,06-Sep-21,3852.0,3877.6,3814.0,3852.0
215,07-Sep-21,3815.9,3869.95,3808.25,3815.9
216,08-Sep-21,3774.15,3815.0,3756.0,3774.15
217,09-Sep-21,3791.4,3808.7,3765.0,3791.4
218,13-Sep-21,3845.35,3852.4,3767.0,3845.35
219,14-Sep-21,3885.9,3896.5,3825.0,3885.9
220,15-Sep-21,3954.55,3980.0,3866.0,3954.55
221,16-Sep-21,3903.3,3981.75,3892.1,3903.3
222,17-Sep-21,3827.85,3945.0,3805.0,3827.85
223,20-Sep-21,3823.5,3871.0,3807.85,3823.5
224,21-Sep-21,3862.95,3871.55,3821.65,3862.95
225,22-Sep-21,3862.15,3896.85,3852.45,3862.15
226,23-Sep-21,3869.25,3879.0,3835.0,3869.25
227,24-Sep-21,3871.3,3944.4,3855.0,3871.3
228,27-Sep-21,3836.95,3904.0,3802.9,3836.95
229,28-Sep-21,3779.15,3850.0,3751.25,3779.15
230,29-Sep-21,3791.9,3806.0,3722.15,3791.9
231,30-Sep-21,3775.55,3805.0,3750.1,3775.55
232,01-Oct-21,3730.2,3810.0,3725.0,3730.2
233,04-Oct-21,3773.3,3783.65,3707.45,3773.3
234,05-Oct-21,3833.3,3840.0,3741.6,3833.3
235,06-Oct-21,3810.9,3857.45,3795.0,3810.9
236,07-Oct-21,3892.9,3899.0,3820.05,3892.9
237,08-Oct-21,3935.65,3989.9,3900.0,3935.65
238,11-Oct-21,3685.6,3757.5,3660.0,3685.6
239,12-Oct-21,3652.85,3707.0,3630.6,3652.85
240,13-Oct-21,3655.2,3675.45,3645.0,3655.2
241,14-Oct-21,3611.45,3670.0,3608.2,3611.45
242,18-Oct-21,3647.15,3652.7,3601.45,3647.15
243,19-Oct-21,3634.15,3690.1,3625.2,3634.15
244,20-Oct-21,3608.85,3630.0,3578.3,3608.85
245,21-Oct-21,3532.5,3607.45,3511.25,3532.5
246,22-Oct-21,3498.85,3561.6,3485.0,3498.85
247,25-Oct-21,3492.95,3514.55,3450.0,3492.95
248,26-Oct-21,3482.6,3529.0,3475.0,3482.6
